District,City,year,pm25,pm10,so2,o3,no2,co
경기도,안양,2017,23.75,49.33,0.0,0.03,0.03,0.52
경기도,안양,2018,26.83,46.92,0.0,0.02,0.03,0.51
경기도,안양,2019,24.5,47.83,0.0,0.02,0.03,0.53
경기도,안양,2020,21.92,40.58,0.0,0.03,0.02,0.53
경기도,안양,2021,19.5,43.83,0.0,0.03,0.02,0.48
경기도,안양,2022,19.91,34.27,0.0,0.03,0.02,0.38
경기도,양주,2015,28.06,54.27,0.0,0.03,0.02,0.49
경기도,양주,2016,28.54,52.5,0.0,0.03,0.02,0.49
경기도,양주,2017,29.2,52.92,0.0,0.03,0.02,0.48
경기도,양주,2018,26.5,46.42,0.0,0.03,0.01,0.39
경기도,양주,2019,26.08,44.42,0.0,0.03,0.02,0.42
경기도,양주,2020,20.0,35.25,0.0,0.03,0.02,0.41
경기도,양주,2021,19.67,37.58,0.0,0.03,0.02,0.42
경기도,양주,2022,18.64,31.27,0.0,0.03,0.01,0.33
경기도,양평,2015,23.5,47.0,0.0,0.03,0.02,0.48
경기도,양평,2016,23.75,46.58,0.0,0.03,0.02,0.52
경기도,양평,2017,26.33,45.67,0.0,0.03,0.02,0.46
경기도,양평,2018,23.08,39.5,0.0,0.03,0.02,0.44
경기도,양평,2019,23.17,41.5,0.0,0.03,0.01,0.48
경기도,양평,2020,20.33,36.33,0.0,0.03,0.01,0.47
경기도,양평,2021,19.67,39.25,0.0,0.03,0.01,0.47
경기도,양평,2022,18.36,30.36,0.0,0.03,0.01,0.39
경기도,여주,2015,28.06,57.36,0.0,0.02,0.02,0.47
경기도,여주,2016,35.5,53.58,0.0,0.03,0.02,0.52
경기도,여주,2017,28.42,56.83,0.0,0.03,0.02,0.48
경기도,여주,2018,24.67,43.92,0.0,0.02,0.02,0.51
경기도,여주,2019,31.27,45.42,0.0,0.03,0.02,0.52
경기도,여주,2020,24.75,39.0,0.0,0.03,0.01,0.47
경기도,여주,2021,23.5,44.17,0.0,0.03,0.01,0.39
경기도,여주,2022,22.36,37.91,0.0,0.03,0.01,0.32
경기도,연천,2015,28.06,48.82,0.0,0.03,0.01,0.42
경기도,연천,2016,32.0,46.75,0.0,0.03,0.01,0.4
경기도,연천,2017,25.75,45.5,0.0,0.03,0.01,0.45
경기도,연천,2018,17.83,30.5,0.0,0.03,0.01,0.43
경기도,연천,2019,18.83,35.92,0.0,0.03,0.01,0.45
경기도,연천,2020,15.5,30.08,0.0,0.03,0.01,0.44
경기도,연천,2021,18.42,34.08,0.0,0.03,0.01,0.47
경기도,연천,2022,13.91,23.17,0.0,0.03,0.01,0.39
경기도,오산,2015,28.06,53.0,0.0,0.02,0.03,0.54
경기도,오산,2016,28.54,53.42,0.0,0.02,0.03,0.48
경기도,오산,2017,28.8,49.0,0.0,0.03,0.03,0.48
경기도,오산,2018,27.75,46.58,0.0,0.02,0.03,0.46
경기도,오산,2019,26.5,45.25,0.0,0.03,0.03,0.48
경기도,오산,2020,19.42,34.83,0.0,0.03,0.02,0.41
경기도,오산,2021,18.92,41.08,0.0,0.03,0.02,0.43
경기도,오산,2022,20.09,37.0,0.0,0.03,0.02,0.33
경기도,용인,2015,28.06,54.33,0.0,0.02,0.03,0.62
경기도,용인,2016,25.8,49.33,0.0,0.02,0.03,0.56
경기도,용인,2017,28.33,50.75,0.0,0.02,0.03,0.58
