Unnamed: 0,District,City,year,pm25,pm10,so2,o3,no2,co,AVG
203,강원도,동해,2015,19.983,32.0,0.003,0.026,0.019,0.6,80.87
204,강원도,동해,2016,23.0,35.0,0.004,0.023,0.018,0.6,81.41
205,강원도,동해,2016,23.0,39.0,0.004,0.026,0.017,0.6,81.41
206,강원도,동해,2016,29.0,52.0,0.003,0.03,0.019,0.5,81.41
207,강원도,동해,2016,24.0,63.0,0.002,0.033,0.017,0.4,81.41
208,강원도,동해,2016,24.0,57.0,0.003,0.042,0.019,0.4,81.41
209,강원도,동해,2016,19.0,38.0,0.002,0.036,0.015,0.4,81.41
210,강원도,동해,2016,15.0,25.0,0.002,0.023,0.013,0.4,81.41
211,강원도,동해,2016,16.0,20.0,0.001,0.024,0.014,0.5,81.41
212,강원도,동해,2016,17.0,26.0,0.001,0.022,0.015,0.5,81.41
213,강원도,동해,2016,22.0,38.0,0.003,0.022,0.018,0.6,81.41
214,강원도,동해,2016,18.0,30.0,0.003,0.02,0.018,0.5,81.41
215,강원도,동해,2016,17.143,26.0,0.002,0.02,0.018,0.5,81.41
216,강원도,동해,2017,23.0,35.0,0.003,0.016,0.016,0.5,81.86
217,강원도,동해,2017,22.0,36.0,0.003,0.032,0.014,0.5,81.86
218,강원도,동해,2017,31.0,47.0,0.003,0.018,0.018,0.4,81.86
219,강원도,동해,2017,24.0,49.0,0.002,0.047,0.014,0.4,81.86
220,강원도,동해,2017,23.0,58.0,0.003,0.05,0.014,0.4,81.86
221,강원도,동해,2017,19.0,41.0,0.002,0.039,0.015,0.3,81.86
222,강원도,동해,2017,16.0,36.0,0.002,0.029,0.016,0.4,81.86
223,강원도,동해,2017,8.0,22.0,0.002,0.018,0.01,0.4,81.86
224,강원도,동해,2017,14.0,29.0,0.003,0.034,0.02,0.7,81.86
225,강원도,동해,2017,20.0,29.0,0.003,0.024,0.021,0.6,81.86
226,강원도,동해,2017,23.0,27.0,0.003,0.026,0.017,0.5,81.86
227,강원도,동해,2017,14.812,20.0,0.002,0.023,0.017,0.6,81.86
228,강원도,동해,2018,23.0,31.0,0.003,0.028,0.018,0.5,81.98
229,강원도,동해,2018,24.0,36.0,0.003,0.033,0.017,0.5,81.98
230,강원도,동해,2018,23.0,38.0,0.002,0.041,0.017,0.4,81.98
231,강원도,동해,2018,22.0,53.0,0.002,0.045,0.015,0.4,81.98
232,강원도,동해,2018,23.0,43.0,0.002,0.044,0.013,0.3,81.98
233,강원도,동해,2018,21.0,36.0,0.002,0.043,0.015,0.4,81.98
234,강원도,동해,2018,20.0,30.0,0.002,0.028,0.013,0.3,81.98
235,강원도,동해,2018,11.0,28.0,0.002,0.023,0.014,0.4,81.98
236,강원도,동해,2018,14.0,21.0,0.002,0.026,0.014,0.3,81.98
237,강원도,동해,2018,19.0,38.0,0.002,0.023,0.023,0.5,81.98
238,강원도,동해,2018,16.0,31.0,0.003,0.023,0.02,0.5,81.98
239,강원도,동해,2018,14.647,25.0,0.002,0.028,0.016,0.3,81.98
240,강원도,동해,2019,23.0,41.0,0.003,0.027,0.02,0.4,82.46
241,강원도,동해,2019,26.0,43.0,0.003,0.032,0.018,0.5,82.46
242,강원도,동해,2019,32.0,49.0,0.002,0.044,0.015,0.4,82.46
243,강원도,동해,2019,18.0,38.0,0.002,0.04,0.017,0.4,82.46
244,강원도,동해,2019,22.0,45.0,0.002,0.051,0.017,0.5,82.46
245,강원도,동해,2019,18.0,30.0,0.002,0.039,0.014,0.4,82.46
246,강원도,동해,2019,18.0,26.0,0.002,0.032,0.013,0.4,82.46
247,강원도,동해,2019,14.0,25.0,0.002,0.03,0.013,0.5,82.46
248,강원도,동해,2019,11.0,19.0,0.002,0.02,0.013,0.4,82.46
249,강원도,동해,2019,15.0,30.0,0.002,0.021,0.019,0.4,82.46
250,강원도,동해,2019,17.0,24.0,0.002,0.02,0.018,0.5,82.46
251,강원도,동해,2019,16.104,25.0,0.002,0.022,0.015,0.4,82.46
252,강원도,동해,2020,15.0,21.0,0.002,0.022,0.015,0.5,82.54
253,강원도,동해,2020,20.0,28.0,0.002,0.026,0.015,0.5,82.54
254,강원도,동해,2020,18.0,30.0,0.002,0.03,0.012,0.4,82.54
255,강원도,동해,2020,17.0,32.0,0.002,0.037,0.011,0.4,82.54
256,강원도,동해,2020,14.0,27.0,0.002,0.032,0.011,0.4,82.54
257,강원도,동해,2020,17.0,30.0,0.001,0.033,0.011,0.3,82.54
258,강원도,동해,2020,10.0,16.0,0.001,0.021,0.009,0.3,82.54
259,강원도,동해,2020,19.0,22.0,0.001,0.017,0.011,0.4,82.54
260,강원도,동해,2020,15.0,21.0,0.001,0.026,0.009,0.4,82.54
