District,City,year,pm25,pm10,so2,o3,no2,co,Percentage
경상남도,거제,2015,25.083,43.167,0.006,0.036,0.017,0.45,0.4
경상남도,거제,2016,24.167,43.0,0.005,0.034,0.015,0.467,0.0
경상남도,거제,2017,22.5,40.667,0.005,0.037,0.014,0.483,1.56
경상남도,거제,2018,20.182,38.182,0.003,0.037,0.016,0.482,0.79
경상남도,거제,2019,18.583,35.083,0.002,0.037,0.016,0.492,0.8
경상남도,거제,2020,16.333,30.583,0.003,0.034,0.013,0.433,0.0
경상남도,거창,2019,19.0,40.182,0.002,0.033,0.014,0.445,1.6
경상남도,거창,2020,18.917,29.917,0.002,0.033,0.012,0.392,1.62
경상남도,고성,2019,15.333,38.75,0.003,0.036,0.013,0.417,0.0
경상남도,고성,2019,15.333,38.75,0.003,0.036,0.013,0.417,0.0
경상남도,고성,2020,12.917,26.083,0.003,0.037,0.011,0.4,3.7
경상남도,고성,2020,12.917,26.083,0.003,0.037,0.011,0.4,1.93
경상남도,김해,2015,19.0,41.833,0.004,0.028,0.019,0.425,0.57
경상남도,김해,2016,22.417,38.167,0.004,0.027,0.021,0.417,1.13
경상남도,김해,2017,19.75,36.167,0.004,0.032,0.019,0.392,0.94
경상남도,김해,2018,20.083,39.0,0.004,0.029,0.021,0.4,0.38
경상남도,김해,2019,20.583,39.167,0.004,0.03,0.018,0.358,0.56
경상남도,김해,2020,16.833,30.083,0.003,0.033,0.016,0.375,0.18
경상남도,남해,2019,18.833,36.417,0.004,0.039,0.01,0.433,0.0
경상남도,남해,2020,14.7,27.2,0.003,0.034,0.01,0.45,0.0
경상남도,밀양,2018,20.25,38.917,0.003,0.032,0.016,0.25,2.8
경상남도,밀양,2019,17.667,37.583,0.003,0.034,0.016,0.275,0.0
경상남도,밀양,2020,18.083,33.5,0.003,0.032,0.014,0.283,0.0
경상남도,사천,2015,20.25,38.167,0.006,0.03,0.015,0.508,0.86
경상남도,사천,2016,19.833,39.083,0.004,0.028,0.014,0.367,0.0
경상남도,사천,2017,17.75,36.333,0.005,0.032,0.018,0.45,0.87
경상남도,사천,2018,16.25,34.5,0.005,0.033,0.014,0.458,1.75
경상남도,사천,2019,16.833,32.667,0.004,0.034,0.014,0.417,2.66
경상남도,사천,2020,14.25,28.25,0.004,0.034,0.012,0.4,0.9
경상남도,산청,2019,17.0,26.0,0.002,0.022,0.014,0.45,2.8
경상남도,산청,2020,15.167,23.917,0.003,0.035,0.008,0.35,2.85
경상남도,양산,2015,27.333,47.917,0.005,0.026,0.019,0.417,1.01
경상남도,양산,2016,26.333,46.167,0.005,0.025,0.023,0.4,0.97
경상남도,양산,2017,25.417,45.25,0.005,0.03,0.023,0.45,1.53
경상남도,양산,2018,22.0,44.75,0.005,0.03,0.021,0.508,0.0
경상남도,양산,2019,20.417,40.833,0.004,0.031,0.02,0.467,0.57
경상남도,양산,2020,18.083,33.5,0.004,0.032,0.018,0.442,0.0
경상남도,의령,2019,18.5,27.5,0.003,0.021,0.013,0.45,3.65
경상남도,의령,2020,15.083,24.333,0.003,0.035,0.009,0.35,3.71
경상남도,진주,2015,27.25,50.583,0.004,0.029,0.019,0.533,0.88
경상남도,진주,2016,25.917,47.917,0.004,0.03,0.018,0.517,2.03
경상남도,진주,2017,21.917,43.917,0.005,0.033,0.016,0.525,2.31
경상남도,진주,2018,18.333,40.917,0.004,0.031,0.014,0.483,1.44
