District,City,year,pm25,pm10,so2,o3,no2,co
경기도,용인,2019,26.25,44.167,0.003,0.024,0.026,0.542
경기도,용인,2020,22.083,38.583,0.002,0.026,0.02,0.475
경기도,용인,2021,20.417,40.25,0.002,0.028,0.019,0.492
경기도,용인,2022,20.0,34.818,0.002,0.031,0.017,0.427
경기도,의왕,2015,27.0,50.667,0.005,0.021,0.036,0.667
경기도,의왕,2016,26.25,49.667,0.004,0.022,0.035,0.683
경기도,의왕,2017,25.583,49.417,0.004,0.025,0.033,0.625
경기도,의왕,2018,25.083,43.5,0.003,0.021,0.03,0.583
경기도,의왕,2019,26.75,44.0,0.003,0.024,0.029,0.608
경기도,의왕,2020,22.083,36.5,0.003,0.026,0.024,0.458
경기도,의왕,2021,17.583,38.0,0.002,0.028,0.023,0.517
경기도,의왕,2022,16.182,33.0,0.002,0.031,0.022,0.445
경기도,의정부,2015,46.0,55.083,0.004,0.026,0.027,0.517
경기도,의정부,2016,34.333,49.25,0.004,0.025,0.024,0.508
경기도,의정부,2017,25.917,54.083,0.004,0.027,0.024,0.458
경기도,의정부,2018,23.417,45.833,0.003,0.029,0.018,0.458
경기도,의정부,2019,23.5,43.0,0.004,0.028,0.025,0.567
경기도,의정부,2020,20.0,36.417,0.004,0.026,0.021,0.533
경기도,의정부,2021,18.75,36.5,0.004,0.029,0.021,0.475
경기도,의정부,2022,17.727,31.182,0.003,0.03,0.019,0.309
경기도,이천,2015,,57.818,0.005,0.027,0.021,0.45
경기도,이천,2016,,57.25,0.004,0.025,0.02,0.483
경기도,이천,2017,27.3,54.167,0.005,0.028,0.022,0.433
경기도,이천,2018,27.417,46.167,0.004,0.025,0.021,0.425
경기도,이천,2019,28.0,45.917,0.004,0.028,0.018,0.508
경기도,이천,2020,23.917,38.833,0.004,0.03,0.016,0.458
경기도,이천,2021,22.0,40.583,0.003,0.031,0.015,0.392
경기도,이천,2022,21.455,36.364,0.002,0.03,0.014,0.291
경기도,파주,2015,,57.5,0.005,0.03,0.023,0.625
경기도,파주,2016,30.545,57.75,0.004,0.027,0.023,0.6
경기도,파주,2017,29.167,52.25,0.004,0.029,0.022,0.575
경기도,파주,2018,25.583,44.417,0.003,0.025,0.02,0.55
경기도,파주,2019,28.083,48.5,0.003,0.028,0.021,0.55
경기도,파주,2020,22.583,38.917,0.002,0.028,0.016,0.483
경기도,파주,2021,21.667,42.417,0.002,0.03,0.016,0.492
경기도,파주,2022,18.818,35.091,0.002,0.03,0.014,0.427
경기도,평택,2015,,61.75,0.006,0.026,0.024,0.467
경기도,평택,2016,,63.083,0.006,0.028,0.022,0.45
경기도,평택,2017,32.5,61.917,0.006,0.029,0.024,0.492
경기도,평택,2018,30.083,54.583,0.005,0.026,0.023,0.458
경기도,평택,2019,29.25,53.333,0.005,0.029,0.021,0.4
경기도,평택,2020,22.25,41.75,0.004,0.029,0.019,0.417
경기도,평택,2021,24.083,46.0,0.004,0.031,0.018,0.425
경기도,평택,2022,23.0,40.818,0.003,0.033,0.017,0.327
경기도,포천,2015,,62.909,0.004,0.038,0.028,0.525
경기도,포천,2016,25.333,55.083,0.004,0.028,0.018,0.5
경기도,포천,2017,29.083,48.167,0.004,0.032,0.018,0.475
경기도,포천,2018,25.083,40.583,0.004,0.031,0.013,0.433
경기도,포천,2019,24.583,46.333,0.004,0.031,0.015,0.467
경기도,포천,2020,19.667,40.25,0.003,0.029,0.013,0.442
경기도,포천,2021,19.5,33.917,0.003,0.03,0.011,0.4
경기도,포천,2022,18.545,29.273,0.002,0.032,0.009,0.336
경기도,하남,2015,23.0,48.75,0.004,0.021,0.033,0.517
경기도,하남,2016,21.667,52.25,0.004,0.02,0.035,0.517
경기도,하남,2017,25.75,51.167,0.004,0.025,0.036,0.483
경기도,하남,2018,21.75,48.417,0.004,0.021,0.032,0.458
경기도,하남,2019,20.5,44.5,0.004,0.024,0.03,0.492
경기도,하남,2020,16.083,34.083,0.002,0.023,0.025,0.442
경기도,하남,2021,16.333,42.5,0.002,0.027,0.022,0.425
경기도,하남,2022,16.636,33.364,0.002,0.03,0.022,0.345
경기도,화성,2015,,55.167,0.005,0.027,0.023,0.475
경기도,화성,2016,,56.167,0.005,0.028,0.022,0.4
경기도,화성,2017,24.1,56.333,0.004,0.026,0.021,0.408
경기도,화성,2018,26.583,46.417,0.004,0.026,0.02,0.433
경기도,화성,2019,28.583,47.667,0.005,0.03,0.018,0.467
경기도,화성,2020,22.5,39.167,0.004,0.031,0.017,0.45
경기도,화성,2021,21.917,43.0,0.004,0.032,0.017,0.425
경기도,화성,2022,21.0,36.727,0.003,0.034,0.015,0.345
경상남도,거제,2015,25.083,43.167,0.006,0.036,0.017,0.45
경상남도,거제,2016,24.167,43.0,0.005,0.034,0.015,0.467
경상남도,거제,2017,22.5,40.667,0.005,0.037,0.014,0.483
경상남도,거제,2018,20.182,38.182,0.003,0.037,0.016,0.482
경상남도,거제,2019,18.583,35.083,0.002,0.037,0.016,0.492
경상남도,거제,2020,16.333,30.583,0.003,0.034,0.013,0.433
경상남도,거제,2021,13.5,27.25,0.003,0.036,0.01,0.475
경상남도,거제,2022,13.091,21.727,0.003,0.042,0.009,0.4
경상남도,거창,2015,,,,,,
경상남도,거창,2016,,,,,,
경상남도,거창,2017,,,,,,
