District,City,year,pm25,pm10,so2,o3,no2,co,AVG
경상남도,산청,2020,15.167,23.917,0.003,0.035,0.008,0.35,83.08
경상남도,양산,2015,27.333,47.917,0.005,0.026,0.019,0.417,81.34
경상남도,양산,2016,26.333,46.167,0.005,0.025,0.023,0.4,81.86
경상남도,양산,2017,25.417,45.25,0.005,0.03,0.023,0.45,82.29
경상남도,양산,2018,22.0,44.75,0.005,0.03,0.021,0.508,82.61
경상남도,양산,2019,20.417,40.833,0.004,0.031,0.02,0.467,82.93
경상남도,양산,2020,18.083,33.5,0.004,0.032,0.018,0.442,83.2
경상남도,의령,2015,24.952,45.06,0.005,0.03,0.017,0.455,80.64
경상남도,의령,2016,23.976,43.619,0.004,0.029,0.017,0.431,80.68
경상남도,의령,2017,22.191,42.361,0.004,0.029,0.017,0.459,80.96
경상남도,의령,2018,19.391,39.418,0.004,0.032,0.016,0.412,81.36
경상남도,의령,2019,18.5,27.5,0.003,0.021,0.013,0.45,81.96
경상남도,의령,2020,15.083,24.333,0.003,0.035,0.009,0.35,82.43
경상남도,진주,2015,27.25,50.583,0.004,0.029,0.019,0.533,82.15
경상남도,진주,2016,25.917,47.917,0.004,0.03,0.018,0.517,82.36
경상남도,진주,2017,21.917,43.917,0.005,0.033,0.016,0.525,82.65
경상남도,진주,2018,18.333,40.917,0.004,0.031,0.014,0.483,83.0
경상남도,진주,2019,17.333,38.667,0.003,0.032,0.014,0.5,83.28
경상남도,진주,2020,15.0,30.583,0.004,0.032,0.013,0.442,83.5
경상남도,창녕,2015,24.952,45.06,0.005,0.03,0.017,0.455,79.91
경상남도,창녕,2016,23.976,43.619,0.004,0.029,0.017,0.431,80.24
경상남도,창녕,2017,22.191,42.361,0.004,0.029,0.017,0.459,80.97
경상남도,창녕,2018,19.391,39.418,0.004,0.032,0.016,0.412,81.18
경상남도,창녕,2019,21.0,33.5,0.004,0.019,0.019,0.45,81.49
경상남도,창녕,2020,18.667,29.167,0.003,0.033,0.013,0.367,81.71
경상남도,창원,2015,26.167,45.667,0.004,0.029,0.021,0.467,80.26
경상남도,창원,2016,25.583,46.167,0.004,0.029,0.021,0.475,81.974
