시도,시군구,2020,2019,2018,2017,2016,2015
경상남도,통합창원시 성산구,0.0,1.34,0.44,0.87,0.86,0.42
경상남도,통합창원시 마산합포구,0.57,1.12,3.86,0.55,2.75,3.3
경상남도,통합창원시 마산회원구,0.52,2.54,1.98,0.96,2.84,0.94
경상남도,통합창원시 진해구,0.0,0.52,0.52,1.06,1.61,2.18
경상남도,의령군,3.71,3.65,0.0,3.57,3.53,3.46
경상남도,함안군,0.0,1.51,1.48,4.37,0.0,1.45
경상남도,창녕군,0.0,0.0,1.57,1.56,1.56,0.0
경상남도,고성군,1.93,0.0,0.0,1.84,5.46,1.8
경상남도,남해군,0.0,0.0,4.51,2.23,2.2,2.16
경상남도,하동군,0.0,2.13,0.0,2.03,0.0,0.0
경상남도,산청군,2.85,2.8,2.77,5.52,5.54,0.0
경상남도,함양군,0.0,0.0,0.0,0.0,0.0,0.0
경상남도,거창군,1.62,1.6,3.19,4.76,0.0,0.0
경상남도,합천군,0.0,0.0,4.3,0.0,0.0,0.0
제주특별자치도,제주특별자치도,1.93,2.54,3.47,2.0,0.95,0.16
제주특별자치도,제주시,2.24,2.67,2.9,2.11,0.64,0.22
제주특별자치도,제주시 제주,0.0,0.0,0.0,0.0,0.0,0.0
제주특별자치도,제주시 동부,0.0,0.0,0.0,0.0,0.0,0.0
제주특별자치도,제주시 서부,0.0,0.0,0.0,0.0,0.0,0.0
제주특별자치도,서귀포시,1.1,2.2,5.01,1.72,1.79,0.0
제주특별자치도,서귀포시 서귀포,0.0,0.0,0.0,0.0,0.0,0.0
제주특별자치도,서귀포시 동부,0.0,0.0,0.0,0.0,0.0,0.0
제주특별자치도,서귀포시 서부,0.0,0.0,0.0,0.0,0.0,0.0
